Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","??1G4VModularPhysicsList@@UAE@XZ","??1G4VModularPhysicsList@@UAE@XZ",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"Caller","??1G4VModularPhysicsList@@UAE@XZ","PhysicsList::~PhysicsList",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"Callee","??1G4VModularPhysicsList@@UAE@XZ","NeutronHPphysics::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"Root","??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",14,0.02,0.00,6.14,0.00,"MSVCP120.dll",
"Caller","??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","DetectorConstruction::PrintParameters",1,0.01,0.00,52.71,0.00,"Hadr04.exe",
"Caller","??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","Run::EndOfRun",13,0.01,0.00,2.56,0.00,"Hadr04.exe",
"Callee","??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","std::endl<char,std::char_traits<char> >",14,0.02,0.00,6.14,0.00,"Hadr04.exe",
"Root","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z",12,0.00,0.00,0.01,0.01,"MSVCP120.dll",
"Caller","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z","Run::EndOfRun",12,0.00,0.00,0.01,0.01,"Hadr04.exe",
"Root","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@N@Z","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@N@Z",3,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@N@Z","Run::EndOfRun",3,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?FillH1@G4H1ToolsManager@@MAE_NHNN@Z","?FillH1@G4H1ToolsManager@@MAE_NHNN@Z","437,181",0.03,0.03,0.00,0.00,"G4analysis.dll",
"Caller","?FillH1@G4H1ToolsManager@@MAE_NHNN@Z","SteppingAction::UserSteppingAction","425,181",0.03,0.03,0.00,0.00,"Hadr04.exe",
