Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"main",1,99.96,99.71,"367,460.70","366,551.48","Hadr04.exe",
"NeutronHPphysics::ConstructProcess",1,0.08,0.08,278.16,278.15,"Hadr04.exe",
"mainCRTStartup",1,100.00,0.04,"367,613.27",152.30,"Hadr04.exe",
"RunAction::EndOfRunAction",1,0.05,0.04,174.59,141.02,"Hadr04.exe",
"?FillH1@G4H1ToolsManager@@MAE_NHNN@Z","437,181",0.03,0.03,0.00,0.00,"G4analysis.dll",
"?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",14,0.02,0.02,6.14,6.14,"MSVCP120.dll",
"SteppingAction::UserSteppingAction","425,181",0.08,0.01,0.00,0.00,"Hadr04.exe",
"RunAction::BeginOfRunAction",1,0.01,0.01,45.61,45.61,"Hadr04.exe",
"Run::CountProcesses","425,181",0.03,0.01,0.00,0.00,"Hadr04.exe",
"[G4run.dll]",1,0.01,0.01,38.72,37.40,"G4run.dll",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Lbound","850,362",0.01,0.01,0.00,0.00,"Hadr04.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","535,844",0.01,0.01,0.00,0.00,"Hadr04.exe",
"std::map<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> > >::operator[]","425,181",0.01,0.00,0.00,0.00,"Hadr04.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::compare","425,199",0.00,0.00,0.00,0.00,"Hadr04.exe",
"StackingAction::ClassifyNewTrack","57,310",0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::char_traits<char>::compare","905,689",0.00,0.00,0.00,0.00,"Hadr04.exe",
"TrackingAction::UpdateTrackInfo","425,181",0.00,0.00,0.00,0.00,"Hadr04.exe",
"G4VisExecutive::`scalar deleting destructor'",1,0.00,0.00,3.15,3.15,"Hadr04.exe",
"PhysicsList::ConstructParticle",1,0.00,0.00,2.62,2.62,"Hadr04.exe",
"Run::ParticleCount","55,310",0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Lbound","55,318",0.00,0.00,0.00,0.00,"Hadr04.exe",
"?GeneratePrimaryVertex@G4ParticleGun@@UAEXPAVG4Event@@@Z","2,000",0.00,0.00,0.00,0.00,"G4event.dll",
"DetectorConstruction::SetSize",1,0.00,0.00,1.23,1.23,"Hadr04.exe",
"PrimaryGeneratorAction::GeneratePrimaries","2,000",0.00,0.00,0.00,0.00,"Hadr04.exe",
"PhysicsList::`scalar deleting destructor'",1,0.00,0.00,1.02,1.01,"Hadr04.exe",
"HistoManager::Book",1,0.00,0.00,0.79,0.79,"Hadr04.exe",
"DetectorConstruction::DefineMaterials",1,0.00,0.00,0.62,0.62,"Hadr04.exe",
"TrackingAction::PostUserTrackingAction","2,000",0.00,0.00,0.00,0.00,"Hadr04.exe",
"G4VisExecutive::RegisterGraphicsSystems",1,0.00,0.00,0.33,0.33,"Hadr04.exe",
"[G4analysis.dll]",1,0.00,0.00,0.24,0.24,"G4analysis.dll",
"?flat@RanecuEngine@CLHEP@@UAENXZ","4,000",0.00,0.00,0.00,0.00,"G4clhep.dll",
"PhysicsList::PhysicsList",1,0.00,0.00,0.16,0.14,"Hadr04.exe",
"PrimaryGeneratorAction::PrimaryGeneratorAction",1,0.00,0.00,0.13,0.13,"Hadr04.exe",
"__tmainCRTStartup",1,99.96,0.00,"367,460.96",0.13,"Hadr04.exe",
"Run::EndOfRun",1,0.01,0.00,33.57,0.12,"Hadr04.exe",
"CLHEP::Hep3Vector::unit","2,001",0.00,0.00,0.00,0.00,"Hadr04.exe",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z",12,0.00,0.00,0.01,0.01,"MSVCP120.dll",
"G4VisExecutive::RegisterModelFactories",1,0.00,0.00,0.07,0.07,"Hadr04.exe",
"DetectorConstruction::ConstructVolumes",1,0.01,0.00,52.83,0.06,"Hadr04.exe",
"DetectorConstruction::PrintParameters",1,0.01,0.00,52.77,0.06,"Hadr04.exe",
"exit",1,0.00,0.00,0.05,0.05,"MSVCR120.dll",
"TrackingAction::PreUserTrackingAction","2,000",0.00,0.00,0.00,0.00,"Hadr04.exe",
"_onexit",46,0.00,0.00,0.00,0.00,"MSVCR120.dll",
"Run::SumTrackLength","2,000",0.00,0.00,0.00,0.00,"Hadr04.exe",
"[G4event.dll]",1,0.00,0.00,0.03,0.03,"G4event.dll",
"?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z",1,0.00,0.00,2.64,0.03,"G4run.dll",
"DetectorMessenger::DetectorMessenger",1,0.00,0.00,0.03,0.02,"Hadr04.exe",
"[G4intercoms.dll]",7,0.00,0.00,0.00,0.00,"G4intercoms.dll",
"DetectorMessenger::SetNewValue",2,0.00,0.00,0.62,0.01,"Hadr04.exe",
"PhysicsList::SetCuts",1,0.00,0.00,0.02,0.02,"Hadr04.exe",
"__CxxSetUnhandledExceptionFilter",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"DetectorConstruction::DetectorConstruction",1,0.00,0.00,0.66,0.01,"Hadr04.exe",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@N@Z",3,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"ActionInitialization::Build",1,0.00,0.00,0.94,0.01,"Hadr04.exe",
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"NeutronHPMessenger::NeutronHPMessenger",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"__getmainargs",1,0.00,0.00,0.01,0.01,"MSVCR120.dll",
"RtlDecodePointer",46,0.00,0.00,0.00,0.00,"ntdll.dll",
"std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",132,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Run::Run",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"RunAction::GenerateRun",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"DetectorConstruction::SetMaterial",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"NeutronHPphysics::NeutronHPphysics",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"?uncaught_exception@std@@YA_NXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",14,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",34,0.00,0.00,0.00,0.00,"Hadr04.exe",
"SteppingVerbose::SteppingVerbose",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"Run::~Run",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",14,0.02,0.00,6.14,0.00,"MSVCP120.dll",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",14,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",68,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"G4UIcommand::SetGuidance",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"??1G4VModularPhysicsList@@UAE@XZ",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"HistoManager::~HistoManager",1,0.00,0.00,0.25,0.00,"Hadr04.exe",
"`dynamic initializer for 'IncidentEnergyBins''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Erase",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Erase",10,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_alloc<0,std::_Tree_base_types<std::pair<G4String const ,int>,std::allocator<std::pair<G4String const ,int> > > >::_Buyheadnode",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::_Reallocate",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"RtlEncodePointer",1,0.00,0.00,0.00,0.00,"ntdll.dll",
"__SEH_prolog4",49,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?SetNumberOfEventToBeProcessed@G4Run@@QAEXH@Z",1,0.00,0.00,0.00,0.00,"G4run.dll",
