Mark ID,Mark Name,Timestamp,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(Hadr04)\# of Exceps Thrown / sec,\.NET CLR Memory(Hadr04)\# Bytes in all Heaps,\.NET CLR Memory(Hadr04)\# Total committed bytes,\.NET CLR Memory(Hadr04)\# Gen 0 Collections,\.NET CLR Memory(Hadr04)\# Gen 1 Collections,\.NET CLR Memory(Hadr04)\# Gen 2 Collections,\.NET CLR Memory(Hadr04)\% Time in GC,\Process(Hadr04)\% Processor Time,\Process(Hadr04)\% Privileged Time,\Process(Hadr04)\% User Time,\Process(Hadr04)\Private Bytes,\.NET CLR LocksAndThreads(Hadr04)\Contention Rate / sec,\Process(Hadr04)\Working Set,
0,"Start of Program",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,"AutoMark",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"AutoMark",515.83,30,330,3,26,0,0,0,0,0,0,0,0,0,0,"32,935,936",0,"54,951,936",
3,"AutoMark","1,018.96",17,43,4,12,0,0,0,0,0,0,0,28,3,24,"35,987,456",0,"59,867,136",
4,"AutoMark","1,520.94",12,0,4,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
5,"AutoMark","2,023.69",11,0,3,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
6,"AutoMark","2,527.28",10,0,1,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
7,"AutoMark","3,029.33",9,0,6,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
8,"AutoMark","3,532.36",14,0,4,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
9,"AutoMark","4,034.42",11,0,3,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
10,"AutoMark","4,536.94",16,0,4,11,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
11,"AutoMark","5,039.43",12,0,3,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
12,"AutoMark","5,542.19",8,1,2,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
13,"AutoMark","6,044.04",8,0,3,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
14,"AutoMark","6,545.63",10,0,6,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
15,"AutoMark","7,047.62",12,0,3,8,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
16,"AutoMark","7,550.52",9,0,2,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
17,"AutoMark","8,053.49",9,0,1,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
18,"AutoMark","8,555.98",13,0,3,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
19,"AutoMark","9,058.70",12,0,5,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
20,"AutoMark","9,561.18",6,0,3,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
21,"AutoMark","10,063.25",8,0,1,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
22,"AutoMark","10,565.54",12,0,3,11,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
23,"AutoMark","11,081.05",12,0,5,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
24,"AutoMark","11,583.37",14,0,2,11,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
25,"AutoMark","12,085.99",11,0,1,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
26,"AutoMark","12,588.47",17,1,0,16,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
27,"AutoMark","13,090.98",12,0,4,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
28,"AutoMark","13,592.64",12,3,1,11,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
29,"AutoMark","14,094.90",15,0,5,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
30,"AutoMark","14,603.68",12,0,3,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
31,"AutoMark","15,109.49",15,0,5,12,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
32,"AutoMark","15,612.39",10,0,5,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
33,"AutoMark","16,115.42",13,0,1,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
34,"AutoMark","16,617.38",12,0,3,8,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
35,"AutoMark","17,119.55",12,0,2,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
36,"AutoMark","17,621.48",10,0,3,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
37,"AutoMark","18,124.58",9,0,1,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
38,"AutoMark","18,627.78",8,0,0,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
39,"AutoMark","19,129.98",15,0,5,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
40,"AutoMark","19,632.04",10,0,1,8,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
41,"AutoMark","20,133.51",7,0,1,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
42,"AutoMark","20,635.04",9,0,5,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
43,"AutoMark","21,151.02",19,0,5,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
44,"AutoMark","21,652.79",10,0,0,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
45,"AutoMark","22,155.65",12,0,4,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
46,"AutoMark","22,657.59",4,0,0,3,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
47,"AutoMark","23,159.63",8,0,1,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
48,"AutoMark","23,661.34",8,0,3,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
49,"AutoMark","24,162.99",5,0,0,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
50,"AutoMark","24,665.77",9,0,3,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
51,"AutoMark","25,167.84",10,0,4,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
52,"AutoMark","25,669.52",7,0,2,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
53,"AutoMark","26,172.05",9,0,3,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
54,"AutoMark","26,674.09",14,0,4,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
55,"AutoMark","27,176.30",15,1,5,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
56,"AutoMark","27,678.98",11,0,3,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
57,"AutoMark","28,181.01",9,0,5,3,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
58,"AutoMark","28,682.05",7,0,2,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
59,"AutoMark","29,184.23",12,0,1,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
60,"AutoMark","29,685.28",8,0,3,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
61,"AutoMark","30,187.28",12,0,6,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
62,"AutoMark","30,689.44",6,0,0,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
63,"AutoMark","31,204.48",9,0,1,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
64,"AutoMark","31,708.69",11,0,3,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
65,"AutoMark","32,210.54",9,0,0,8,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
66,"AutoMark","32,713.35",10,0,6,3,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
67,"AutoMark","33,215.81",9,0,3,5,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
68,"AutoMark","33,717.80",9,0,4,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,867,136",
69,"AutoMark","34,220.81",12,0,3,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
70,"AutoMark","34,721.85",4,0,1,3,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
71,"AutoMark","35,224.22",7,0,2,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
72,"AutoMark","35,725.97",5,0,2,2,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
73,"AutoMark","36,226.95",7,0,2,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
74,"AutoMark","36,728.66",5,0,2,2,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
75,"AutoMark","37,229.73",7,0,2,4,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
76,"AutoMark","37,731.72",6,0,2,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
77,"AutoMark","38,234.47",13,0,4,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
78,"AutoMark","38,734.55",14,0,5,8,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
79,"AutoMark","39,236.55",10,0,2,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
80,"AutoMark","39,738.25",15,0,4,10,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
81,"AutoMark","40,241.33",11,0,4,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
82,"AutoMark","40,742.41",9,0,6,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
83,"AutoMark","41,259.28",20,0,9,7,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
84,"AutoMark","41,760.78",7,0,3,3,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
85,"AutoMark","42,261.81",13,0,3,9,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
86,"AutoMark","42,764.53",12,0,8,6,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
87,"AutoMark","43,266.90",23,1,7,14,0,0,0,0,0,0,0,0,0,0,"35,987,456",0,"59,879,424",
