Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,
"Hadr04.exe","4,596,637",100.00,99.93,"367,613.27",0.08,
"G4analysis.dll","437,182",0.03,0.03,0.00,0.00,
"MSVCP120.dll",548,0.02,0.02,0.17,0.16,
"G4run.dll",4,0.01,0.01,10.58,9.36,
"G4event.dll","2,001",0.00,0.00,0.00,0.00,
"G4clhep.dll","4,000",0.00,0.00,0.00,0.00,
"MSVCR120.dll",59,0.00,0.00,0.00,0.00,
"G4intercoms.dll",7,0.00,0.00,0.00,0.00,
"ntdll.dll",47,0.00,0.00,0.00,0.00,
"G4global.dll",180,0.00,0.00,0.00,0.00,
